Id,SalePrice
1461,118863.58286981472
1462,152911.06258123752
1463,172434.21204043427
1464,186257.50003784566
1465,196006.18891488717
1466,176133.25390869452
1467,173993.15991866105
1468,165802.44243587897
1469,192753.6573665745
1470,123333.81102271644
1471,187201.85204440245
1472,100558.1028671476
1473,96786.59577443445
1474,143245.83753335135
1475,115345.96469211849
1476,372939.8612722024
1477,246689.60702570493
1478,300042.9224259646
1479,297499.06310325506
1480,530778.0044524305
1481,343166.46099565487
1482,207161.0151901053
1483,173526.31562510546
1484,160746.08481106337
1485,185263.24353296697
1486,194949.88987328555
1487,348128.9039813951
1488,219935.82273693953
1489,199785.2066544272
1490,231483.67002809088
1491,198482.21827917514
1492,96601.49481031638
1493,191362.13172350093
1494,287325.12822416815
1495,286578.94743778545
1496,230325.15698019988
1497,187128.13149234437
1498,169812.9723490168
1499,166424.22370387753
1500,160041.67271836812
1501,178438.75003634873
1502,151516.53722597545
1503,230897.28954920257
1504,250413.8621777894
1505,229199.0509548233
1506,189556.2170610134
1507,256802.86104915594
1508,208669.26010420598
1509,154929.13295261684
1510,150526.27094992695
1511,143016.16258962522
1512,174631.45161311488
1513,153124.8496002183
1514,138960.00222222353
1515,183911.09113516944
1516,147683.1950878466
1517,171687.23200063198
1518,139519.93631456676
1519,205600.88785381062
1520,129817.35457806155
1521,126453.00525185216
1522,173918.7338792604
1523,117881.24216253577
1524,115449.63544689081
1525,117727.04874025125
1526,116987.17694076606
1527,114529.7340521819
1528,132845.64211042388
1529,147555.7738525014
1530,182900.44930894804
1531,99988.05987034208
1532,87386.366848196
1533,144568.28412545862
1534,120716.6646585274
1535,133440.00401364174
1536,102954.30728975413
1537,69428.48630850094
1538,126944.67129392592
1539,194958.15105977058
1540,99209.31189492771
1541,125101.56468907066
1542,147458.63135855526
1543,178071.22659338734
1544,88325.1333171645
1545,111541.60938420316
1546,141822.5081107343
1547,121403.08812627014
1548,128671.950191229
1549,113631.1150529533
1550,138276.01157662293
1551,100917.97645093303
1552,143108.46846546698
1553,131272.83320357217
1554,119473.95388594194
1555,162997.8378800871
1556,88797.21134420598
1557,97208.5701462258
1558,104854.06323671735
1559,61814.47879475112
1560,137068.19291525043
1561,132868.0571821032
1562,133226.9125675014
1563,125064.54392184547
1564,148330.87390142918
1565,148829.87536707206
1566,234011.49806736765
1567,84837.25940119821
1568,251051.35572395238
1569,137907.75253978587
1570,133888.67731226858
