Id,SalePrice
1461,1.4359192008266213e+42
1462,4.0642931921002063e+111
1463,1.953728168366535e+140
1464,3.371368808307285e+158
1465,3.226523827649012e+145
1466,1.0354202285429154e+152
1467,2.2386562665277162e+133
1468,9.955587856277876e+151
1469,2.2485774390752936e+133
1470,1.9624659428233216e+44
1471,2.3502492643499613e+146
1472,4.63554765859458e+35
1473,1.426328033004003e+19
1474,7.253983817201125e+96
1475,7.2604377768486e+96
1476,1.0051795656679529e+281
1477,2.442923412399001e+202
1478,2.889349452822533e+218
1479,4.366631686358738e+233
1480,2.2270919087117476e+272
1481,3.326850121956823e+234
1482,9.690600681025095e+171
1483,2.3226322943069926e+133
1484,7.715898541003297e+175
1485,1.2857612062204524e+151
1486,7.167509416321202e+149
1487,2.3232745987651275e+242
1488,2.2651888941434424e+199
1489,1.030381063646526e+152
1490,1.0284565919174816e+152
1491,3.249013468700555e+145
1492,222716889171935.8
1493,4.229886411536584e+111
1494,2.035462113224664e+229
1495,3.9521322896109676e+263
1496,5.790858775934659e+258
1497,2.6716278049877363e+185
1498,1.1663157395815592e+102
1499,1.1661061441530788e+102
1500,1.1844234491291675e+115
1501,1.7102498820407525e+150
1502,1.1259976288067663e+102
1503,5.818399530234963e+199
1504,4.864128011511269e+193
1505,3.1646296166868585e+224
1506,2.4662359616270265e+159
1507,1.2633842826964102e+214
1508,2.3655663791449047e+159
1509,9.404860858723657e+105
1510,1.633149355364174e+58
1511,2.2382046549972927e+103
1512,1.1952918885458938e+125
1513,1.9377692083817959e+84
1514,2.354570964030627e+51
1515,2.588982199733578e+159
1516,2.5955212020172577e+27
1517,1.2101433509820508e+115
1518,1.262442960034873e+125
1519,1.9562930204660605e+183
1520,1.7753715888215045e+74
1521,1.8571818161308274e+74
1522,1.513794236111823e+88
1523,1.7567669165708457e+74
1524,1.0893304896475534e+46
1525,6.96129512369439e+63
1526,1.8330694087228983e+74
1527,1.226114371831789e+42
1528,1.289479880011281e+46
1529,1.6635836134295964e+61
1530,7.38505636422977e+126
1531,4.839539659495915e+61
1532,1.0580609970521741e+46
1533,3.11632583049391e+59
1534,1.2161053319085031e+46
1535,1.4628372470220568e+95
1536,1.1484161612220153e+46
1537,21338.53347201921
1538,9.412717435855437e+158
1539,2.0505948470591397e+110
1540,5.122861410410377e+48
1541,2.001510714990851e+74
1542,1.9592806041313573e+74
1543,3.9505910075366003e+62
1544,1.5886587199246937e+41
1545,5.3470160417347935e+44
1546,2.726207059146651e+69
1547,4.8701572476326643e+61
1548,3.1429049417625343e+69
1549,1.0808354617966914e+46
1550,1.1706386283025163e+118
1551,1.1316518643567328e+46
1552,1.0720822174006676e+46
1553,5.323442789555877e+61
1554,1.849635124090681e+74
1555,2.2807937724903234e+159
1556,1.7483357848276008e+74
1557,1.9193431265005763e+31
1558,1.2752383364798407e+42
1559,1.7760031360180771e+84
1560,1.0948625348285795e+115
1561,8.331370356228153e+76
1562,1.0379116629417333e+66
1563,5.093427528468948e+64
1564,1.9813692347907921e+74
1565,4.025133969529155e+111
1566,2.036923794993028e+222
1567,3523254267.5392203
1568,1.9382768630884056e+222
1569,1.8613430403137636e+74
1570,1.3800508564577609e+42
1571,1.8871715025276157e+74
1572,5.559604858534672e+64
1573,1.2142531300990584e+66
1574,1.7937032144465503e+84
1575,3.023148920873024e+234
1576,3.295278647429468e+158
